elements;B-asignments;I-asignments;S-asignments
100;0;198;297
300;0;598;897
500;0;998;1497
700;0;1398;2097
900;0;1798;2697
1100;0;2198;3297
1300;0;2598;3897
1500;0;2998;4497
1700;0;3398;5097
1900;0;3798;5697
2100;0;4198;6297
2300;0;4598;6897
2500;0;4998;7497
2700;0;5398;8097
2900;0;5798;8697
3100;0;6198;9297
3300;0;6598;9897
3500;0;6998;10497
3700;0;7398;11097
3900;0;7798;11697
4100;0;8198;12297
4300;0;8598;12897
4500;0;8998;13497
4700;0;9398;14097
4900;0;9798;14697
5100;0;10198;15297
5300;0;10598;15897
5500;0;10998;16497
5700;0;11398;17097
5900;0;11798;17697
6100;0;12198;18297
6300;0;12598;18897
6500;0;12998;19497
6700;0;13398;20097
6900;0;13798;20697
7100;0;14198;21297
7300;0;14598;21897
7500;0;14998;22497
7700;0;15398;23097
7900;0;15798;23697
8100;0;16198;24297
8300;0;16598;24897
8500;0;16998;25497
8700;0;17398;26097
8900;0;17798;26697
9100;0;18198;27297
9300;0;18598;27897
9500;0;18998;28497
9700;0;19398;29097
9900;0;19798;29697
