elements;B-comparisons;I-comparisons;S-comparisons100
300;299;299;44850
500;499;499;124750
700;699;699;244650
900;899;899;404550
1100;1099;1099;604450
1300;1299;1299;844350
1500;1499;1499;1124250
1700;1699;1699;1444150
1900;1899;1899;1804050
2100;2099;2099;2203950
2300;2299;2299;2643850
2500;2499;2499;3123750
2700;2699;2699;3643650
2900;2899;2899;4203550
3100;3099;3099;4803450
3300;3299;3299;5443350
3500;3499;3499;6123250
3700;3699;3699;6843150
3900;3899;3899;7603050
4100;4099;4099;8402950
4300;4299;4299;9242850
4500;4499;4499;10122750
4700;4699;4699;11042650
4900;4899;4899;12002550
5100;5099;5099;13002450
5300;5299;5299;14042350
5500;5499;5499;15122250
5700;5699;5699;16242150
5900;5899;5899;17402050
6100;6099;6099;18601950
6300;6299;6299;19841850
6500;6499;6499;21121750
6700;6699;6699;22441650
6900;6899;6899;23801550
7100;7099;7099;25201450
7300;7299;7299;26641350
7500;7499;7499;28121250
7700;7699;7699;29641150
7900;7899;7899;31201050
8100;8099;8099;32800950
8300;8299;8299;34440850
8500;8499;8499;36120750
8700;8699;8699;37840650
8900;8899;8899;39600550
9100;9099;9099;41400450
9300;9299;9299;43240350
9500;9499;9499;45120250
9700;9699;9699;47040150
9900;9899;9899;49000050
