elements;B;I;S
;;;
;;;
100;9900;99;4950
350;122150;349;61075
600;359400;599;179700
850;721650;849;360825
1100;1208900;1099;604450
1350;1821150;1349;910575
1600;2558400;1599;1279200
1850;3420650;1849;1710325
2100;4407900;2099;2203950
2350;5520150;2349;2760075
2600;6757400;2599;3378700
2850;8119650;2849;4059825
3100;9606900;3099;4803450
3350;11219150;3349;5609575
3600;12956400;3599;6478200
3850;14818650;3849;7409325
4100;16805900;4099;8402950
4350;18918150;4349;9459075
4600;21155400;4599;10577700
4850;23517650;4849;11758825
5100;26004900;5099;13002450
5350;28617150;5349;14308575
5600;31354400;5599;15677200
5850;34216650;5849;17108325
6100;37203900;6099;18601950
6350;40316150;6349;20158075
6600;43553400;6599;21776700
6850;46915650;6849;23457825
7100;50402900;7099;25201450
7350;54015150;7349;27007575
7600;57752400;7599;28876200
7850;61614650;7849;30807325
8100;65601900;8099;32800950
8350;69714150;8349;34857075
8600;73951400;8599;36975700
8850;78313650;8849;39156825
9100;82800900;9099;41400450
9350;87413150;9349;43706575
9600;92150400;9599;46075200
9850;97012650;9849;48506325
